pl_name,hostname,disposition,disc_year,pl_rade,pl_bmasse,pl_eqt,rastr,ra,decstr,dec
EPIC 201111557.01,EPIC 201111557,CANDIDATE,2018,1.120,,1054,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289
EPIC 201111557.01,EPIC 201111557,CANDIDATE,2018,1.313,,,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289
EPIC 201126503.01,EPIC 201126503,CANDIDATE,2016,4.190,,,11h43m45.26s,175.9385954,-05d52m24.09s,-5.8733592
EPIC 201127519.01,EPIC 201127519,CANDIDATE,2018,8.840,,772,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738
EPIC 201127519.01,EPIC 201127519,CANDIDATE,2018,9.913,,,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738
EPIC 201147085.01,EPIC 201147085,CANDIDATE,2019,0.860,,,11h35m36.64s,173.9026640,-05d21m52.60s,-5.3646120
EPIC 201152065.01,EPIC 201152065,CANDIDATE,2019,1.450,,,11h32m10.39s,173.0432884,-05d14m49.80s,-5.2471672
EPIC 201160662.01,EPIC 201160662,CANDIDATE,2019,45.000,,,11h39m59.48s,174.9978388,-05d02m25.63s,-5.0404536
EPIC 201164625.01,EPIC 201164625,CANDIDATE,2018,4.340,,2336,12h06m22.49s,181.5936878,-04d56m48.14s,-4.9467043
EPIC 201166680.01,K2-243,CANDIDATE,2018,2.100,,,12h04m29.07s,181.1211419,-04d53m56.89s,-4.8991358
EPIC 201176672.01,EPIC 201176672,CANDIDATE,2016,10.200,,,11h16m35.97s,169.1498727,-04d39m23.19s,-4.6564416
EPIC 201176672.02,EPIC 201176672,CANDIDATE,2019,30.000,,,11h16m35.97s,169.1498727,-04d39m23.19s,-4.6564416
EPIC 201180665.01,EPIC 201180665,CANDIDATE,2018,26.440,,830,12h16m40.73s,184.1697015,-04d33m37.42s,-4.5603949
EPIC 201182911.01,EPIC 201182911,CANDIDATE,2016,32.800,,,11h30m50.50s,172.7104166,-04d30m27.33s,-4.5075924
