kepoi_name,koi_prad,koi_teq,ra,dec
K00752.01,2.26,793.0,291.934230,48.141651
K00752.02,2.83,443.0,291.934230,48.141651
K00753.01,14.60,638.0,297.004820,48.134129
K00754.01,33.46,1395.0,285.534610,48.285210
K00755.01,2.75,1406.0,288.754880,48.226200
K00756.01,3.90,835.0,296.286130,48.224670
K00756.02,2.77,1160.0,296.286130,48.224670
K00756.03,1.59,1360.0,296.286130,48.224670
K00114.01,39.21,1342.0,298.864350,42.151569
K00757.01,5.76,600.0,286.999480,48.375790
K00001.01,13.04,1339.0,286.808470,49.316399
K00002.01,16.10,2048.0,292.247280,47.969521
K00010.01,14.59,1521.0,281.288120,42.451080
K00112.02,1.16,1206.0,295.648710,48.495560
K00742.01,150.51,753.0,297.079930,47.597401
K00743.01,7.18,523.0,289.258210,47.635319
K00744.01,49.29,698.0,295.814540,47.690350
K00745.01,7.94,595.0,297.154420,47.668701
K00746.01,2.47,649.0,288.138240,47.724449
K00747.01,2.85,678.0,283.710880,47.863270
K00748.01,1.58,1066.0,283.765470,47.804298
K00749.01,2.55,919.0,292.376130,47.880989
K00749.02,1.70,1018.0,292.376130,47.880989
K00749.03,1.30,800.0,292.376130,47.880989
K00113.01,41.50,297.0,292.273740,37.671558
K00750.01,2.95,530.0,290.465120,47.929180
K00751.01,2.78,917.0,297.808260,47.946671
K00769.01,2.30,1012.0,294.265810,49.314091
K00770.01,4.53,1452.0,295.665220,49.351009
K00771.01,14.14,196.0,296.698610,49.316479
K00772.01,39.87,505.0,283.725920,49.479519
K00773.01,2.82,529.0,291.722020,49.480869
K00757.02,3.86,439.0,286.999480,48.375790
K00757.03,2.65,823.0,286.999480,48.375790
K00758.01,3.10,593.0,297.025630,48.478588
K00759.01,3.36,506.0,285.718540,48.505859
K00759.02,2.12,359.0,285.718540,48.505859
K00760.01,12.21,1103.0,292.167050,48.727589
K00761.01,6.54,1222.0,297.923650,48.777321
K00762.01,2.10,1133.0,298.456850,48.791592
K00763.01,12.42,730.0,291.093900,48.933842
K00115.01,2.94,1093.0,287.887330,46.276241
K00764.01,5.50,516.0,295.555050,49.017342
K00765.01,2.52,790.0,285.499240,49.277351
K00766.01,4.43,1243.0,291.936160,49.253979
K00767.01,12.21,1219.0,297.015470,49.225288
K00768.01,7.34,430.0,284.172330,49.360722
K00786.01,1.89,1147.0,291.622410,50.618240
K00787.01,3.25,1104.0,295.816160,51.121738
K00787.02,3.95,806.0,295.816160,51.121738
K00788.01,3.07,489.0,289.399720,51.250320
K00116.01,2.64,785.0,300.863980,44.337551
K00115.02,1.79,997.0,287.887330,46.276241
K00774.01,15.03,967.0,288.986820,49.733742
K00775.01,2.00,433.0,286.738040,49.975750
K00775.02,2.16,553.0,286.738040,49.975750
K00775.03,1.99,332.0,286.738040,49.975750
K00776.01,6.02,1023.0,290.785740,50.054119
K00777.01,7.51,467.0,294.316860,50.080231
K00778.01,1.99,822.0,285.176210,50.149818
K00779.01,11.23,833.0,289.235530,50.241001
K00780.01,2.34,1070.0,293.833310,50.230350
K00780.02,19.45,734.0,293.833310,50.230350
K00115.03,0.55,1272.0,287.887330,46.276241
K00781.01,2.65,396.0,296.221950,50.287220
K00782.01,5.31,1015.0,290.098050,50.321609
K00783.01,4.86,833.0,295.455290,50.494560
K00784.01,1.93,393.0,293.973360,50.531910
K00784.02,1.91,488.0,293.973360,50.531910
K00785.01,2.66,677.0,296.021330,50.567780
K00116.02,2.87,531.0,300.863980,44.337551
K00798.01,21.55,1032.0,292.315950,38.270290
K00799.01,32.43,1547.0,294.368190,38.310280
K00800.01,3.12,1420.0,291.653530,38.494659
K00800.02,3.32,1025.0,291.653530,38.494659
K00789.01,1.88,711.0,291.044800,51.321671
K00790.01,2.59,751.0,296.366520,51.319519
K00790.02,2.36,390.0,296.366520,51.319519
K00791.01,7.40,753.0,289.112210,51.737381
K00792.01,46.58,1920.0,290.843690,37.728828
K00793.01,28.59,876.0,291.848910,37.713501
K00794.01,2.06,1332.0,291.439970,37.905659
K00795.01,2.77,812.0,290.870510,38.273628
K00796.01,27.51,1836.0,290.996890,38.284920
K00797.01,7.73,812.0,291.281950,38.241669
K00812.02,1.96,361.0,286.079130,39.278320
K00812.03,1.83,273.0,286.079130,39.278320
K00116.04,1.31,649.0,300.863980,44.337551
K00812.04,1.20,494.0,286.079130,39.278320
K00813.01,7.34,1005.0,294.655240,39.308361
K00814.01,2.32,536.0,294.710630,39.521740
K00801.01,9.73,1579.0,293.871920,38.422939
K00802.01,13.60,643.0,293.816190,38.563568
K00803.01,17.47,838.0,293.941160,38.601101
K00804.01,2.57,757.0,290.333620,38.728230
K00805.01,13.28,843.0,287.696750,38.886452
K00806.01,8.90,308.0,285.283630,38.947281
K00116.03,0.79,1021.0,300.863980,44.337551
K00806.02,12.19,411.0,285.283630,38.947281
K00806.03,1.91,524.0,285.283630,38.947281
K00807.01,25.69,1470.0,286.926390,38.921631
K00808.01,1.70,918.0,287.748810,38.929550
K00809.01,11.30,1539.0,285.213810,39.027481
K00810.01,2.50,886.0,287.093990,39.060719
K00811.01,3.41,518.0,289.315430,39.153278
K00812.01,2.03,656.0,286.079130,39.278320
K00828.01,30.26,1326.0,295.378050,40.493401
K00829.01,3.12,701.0,290.461760,40.562462
K00117.02,1.70,1262.0,297.028260,48.208611
K00829.02,2.76,870.0,290.461760,40.562462
K00829.03,4.02,550.0,290.461760,40.562462
K00830.01,11.58,975.0,290.581730,40.577400
K00815.01,7.61,511.0,285.920010,39.624828
K00816.01,5.52,964.0,294.489900,39.771439
K00817.01,1.80,329.0,283.866390,39.898079
K00817.02,1.82,469.0,283.866390,39.898079
K00818.01,2.10,460.0,288.812010,40.033401
K00819.01,27.50,500.0,294.147890,40.055538
K00820.01,30.09,1155.0,295.113710,40.071171
K00011.01,13.65,1031.0,291.061520,50.265129
K00117.01,2.89,874.0,297.028260,48.208611
K00821.01,3.38,639.0,294.776860,40.153740
K00822.01,10.34,814.0,283.538450,40.217999
K00823.01,72.77,1947.0,296.006990,40.295429
K00824.01,11.01,600.0,283.253540,40.358189
K00825.01,2.11,687.0,283.221410,40.421829
K00825.02,1.46,823.0,283.221410,40.421829
K00826.01,2.44,914.0,291.149510,40.420521
K00827.01,3.86,1047.0,294.223970,40.417858
K00839.01,26.25,1261.0,298.961120,40.862808
K00840.01,8.99,1021.0,299.316100,40.822380
K00841.01,5.00,610.0,292.236760,41.085880
K00117.04,1.06,1074.0,297.028260,48.208611
K00841.02,6.50,481.0,292.236760,41.085880
K00831.01,12.28,1104.0,294.056760,40.549679
K00832.01,17.61,796.0,294.743960,40.533920
K00833.01,31.44,1133.0,295.504390,40.505489
K00834.01,7.89,731.0,287.897130,40.637821
K00834.02,3.06,888.0,287.897130,40.637821
K00834.03,2.32,1146.0,287.897130,40.637821
K00834.04,1.62,1642.0,287.897130,40.637821
K00117.03,1.53,1458.0,297.028260,48.208611
K00834.05,2.67,568.0,287.897130,40.637821
K00835.01,2.35,616.0,294.202150,40.663410
K00835.02,2.37,366.0,294.202150,40.663410
K00836.01,17.06,1010.0,299.642850,40.691238
K00837.01,2.25,696.0,291.158780,40.750271
K00837.02,1.48,864.0,291.158780,40.750271
K00838.01,38.33,1114.0,292.214360,40.759762
K00850.01,8.24,713.0,293.878110,41.661770
K00851.01,5.39,1038.0,299.186860,41.742680
K00852.01,2.66,1121.0,283.316380,41.837120
K00853.01,3.01,742.0,286.565700,41.808399
K00853.02,3.01,613.0,286.565700,41.808399
K00841.03,2.19,810.0,292.236760,41.085880
K00842.01,2.31,562.0,292.913120,41.060921
K00842.02,2.64,397.0,292.913120,41.060921
K00843.01,6.21,1234.0,293.496610,41.137589
K00844.01,4.35,1151.0,283.864410,41.346458
K00845.01,3.75,727.0,288.510010,41.301769
K00846.01,13.84,554.0,296.888210,41.396091
K00847.01,7.59,452.0,287.154300,41.565788
K00848.01,26.82,954.0,284.869290,41.679192
K00118.01,2.29,712.0,287.362790,38.649601
K00849.01,2.47,777.0,288.994200,41.633282
K00867.01,3.68,613.0,292.105190,42.380322
K00868.01,10.59,188.0,293.007970,42.307201
K00869.01,2.56,753.0,291.638980,42.436321
K00869.02,3.03,445.0,291.638980,42.436321
